N.I.F.;Nombre 1;Nombre 2;VMA;;;;;
8301410844;ECODIAGNOSTICO EL BOSQUE LTDA;;12143;;;;;
8305136793;FUNDACION COMEDIC;;2000000735;;;;;
9002693384;CONSORCIO SERVICIOS IMAGENOLOGICOS;EL BOSQUE;2000000743;;;;;
9005309342;NEUROVITAL CARE SAS;;17402;;;;;
9007328040;IXCHEL SAS;;2000000737;;;;;
9007789545;NEUROBOSQUE SAS;;2000000738;;;;;
8000251997;MEDISHI LTDA;;9070;;;;;
8001493846;CLINICA COLSANITAS S.A;;9392;;;;;
9000740596;GENETICA HUMANA E.U.;;13651;;;;;
9002376691;VID MEDICA SAS;;2000007719;;;;;
8300137313;SOPORTE VITAL SA.;;1000000348;;;;;
9007269352;CENTRO DE ENFERMEDADES HEPÁTICAS Y;DIGESTIVAS SAS;5019;;;;;
9008942891;FELIPE BERNAL SAS;;2000000739;;;;;
8300032628;DISTRIBUCIONES BYF MEDICAL LTDA;;2000006606;;;;;
8002113650;MINERVA MEDICAL;;2000006113;;;;;
9003221954;IPS CENTRO ESPECIALIZADO EN ENFERMEDADES;PULMONARES S. A. S.;15670;;;;;
8300753932;ORTHO WAVE COLOMBIA LIMITADA OWC LI;;11798;;;;;
8999990260;CAPRECOM EPS;;13228;;;;;
8050004271;COOMEVA ENTIDAD PROMOTORA DE SALUD;;10180;;;;;
8300097830;CRUZ BLANCA EPS  S.A.;;39040;;;;;
8300035647;ENTIDAD PROMOTORA DE SALUD;;1000000421;;;;;
8300073552;FRESENIUS MEDICAL CARE COLOMBIA LIM;;11588;;;;;
8002514406;ENTIDAD PROMOTORA DE SALUD;MEDIDA DE TOMA DE POSESION;9789;;;;;
8605036173;SEGUROS ALFA S.A;;39110;;;;;
8002561619;SEGUROS DE RIESGOS LABORALES;;39125;;;;;
8002501191;SALUDCOOP EPS;;2000006173;;;;;
8300582925;UROBOSQUE S.A;;11763;;;;;
8600661912;MEDICOS ASOCIADOS IPS;;12507;;;;;
8000061506;EMCO SALUD IPS;;9031;;;;;
8909008426;CAJA COMPENSACION COMFENALCO ANTIOQUIA;;2000007196;;;;;
8911800082;COMFAMILIAR HUILA;;39807;;;;;
8600135703;CAJA DE COMPENSACION FAMILIAR;;39801;;;;;
8910800051;COMFACOR;;39806;;;;;
8001475789;COMPUFACIL SAS;;39352;;;;;
8001502230;PRIMATELA SAS;;39353;;;;;
8300455837;GRUPO SIS SA;;39406;;;;;
8300694991;CONSORCIO NACIONAL DE MEDIOS SAS;;39433;;;;;
8301223001;COOPERATIVA DE TRABAJO ASOCIADO;;39484;;;;;
9001918560;CONSTRUCTORA BOGOTA FASE III SA;;39649;;;;;
9005883431;UNION TEMPORAL CRUZ ROJA;;39736;;;;;
8301138492;CLINICA JUAN N. CORPAS LTDA.;;2000006758;;;;;
8110040555;EMPRESA MUTUAL PARA EL DESARROLLO;;39787;;;;;
8600073361;CAJA COLOMBIANA DE SUBSIDIO FAMILIAR;COLSUBSIDIO;39789;;;;;
8140003371;ASOCIACION MUTUAL EMPRESA SOLIDARIA DE S;;39795;;;;;
8300179697;UNIDAD MEDICA SANTAFE S.A.S.;;39797;;;;;
8904801101;CAJA DE COMPENSACION FAMILIAR DE;CARTAGENA;39805;;;;;
8918002138;CAJA DE COMPENSACION FAMILIAR BOYACA;;39810;;;;;
9002109816;CORPORACION HOSPITALARIA JUAN CIUDAD;;39817;;;;;
9006314882;UNIDAD DE SERVICIOS MEDICOS;;18166;;;;;
9006125310;OPERADOR CLINICO HOSPIT. POR OUTSOURCING;;18056;;;;;
8050112620;R T S .S.A.S.;;10250;;;;;
9002720001;CENTRO DE EXCELENCIA MEDICA DEL VALLE DE;ABURRA SAS;2000007755;;;;;
8600138747;INSTITUTO DE ORTOPEDIA INFANTIL;ROOSEVELT;12434;;;;;
9003880698;GOMEZ ASOCIADOS SALUD OCUPACIONAL;;16242;;;;;
8600537614;CLINICA DE OJOS (CLINOJOS) S.A;;12500;;;;;
8000823941;HOSPIMPORT S.A;;1000000592;;;;;
9000533544;HORIZONTES ABA TERAPIA INTEGRAL LIMITADA;;13541;;;;;
8600158889;HOSPITAL UNIVERSITARIO CLINICA;;12437;;;;;
8301388025;FUNDACION SALUD BOSQUE;;12130;;;;;
8002270728;EUSALUD SA;;9701;;;;;
8002270728;EUSALUD SA;;9701;;;;;
9002637405;UNIPSALUD 2000 GUADUAS IPS LTDA;;15167;;;;;
8600432112;LIGA CONTRA EL CANCER SECCIONAL BTA;CAJASAN;12479;;;;;
9003489375;CENTRO EXCELENCIA DE CUIDADOS EN SALUD;DE SERVICIOS DE SALUD SAS;15890;;;;;
9002939234;IPS ESPECIALIZADA SA;;15421;;;;;
8300183051;FUNDACION JAVERIANA DE SERVICIOS MEDICO;MARQUEZ VILLEGAS;11646;;;;;
8000277046;CENTRO COLOMB DE FERTILIDAD Y ESTERILI;;9077;;;;;
8300050281;ADMINISTRADORA COUNTRY SAS;;11582;;;;;
8600066569;FUNDACION ABOOD SHAIO;;12388;;;;;
8600359922;FUNDACION CARDIO INFANTIL;;12462;;;;;
9002478223;REHAB-INTEG-INFANTIL ESPECIALIZADA;;15025;;;;;
9002820390;VITAL HEALTH;;15347;;;;;
8905008935;LIGA NORTE SANT-LUCHA CONTRA CANCER;;12752;;;;;
9003012382;BOSTON MEDICAL CARE SAS IPS;;15487;;;;;
8902125680;FUNDAC CARDIOVASCULAR DE COLOMBIA;;12678;;;;;
8001768683;INSTITUTO CALDENSE DE PATOLOGIA ICP S.A;;9480;;;;;
9005781050;CORPORACION SALUD UN;;17783;;;;;
